															
		Database													
38	028	Sandslash	GROUND		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_028_00.png	32
39	028	Sandslash: (Alolan)	ICE	STEEL	KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_028_61.png	33
40	029	Nidoran♀	POISON		KANTO		TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FEMALE ONLY	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_029_00.png	34
41	030	Nidorina	POISON		KANTO		TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FEMALE ONLY	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_030_00.png	35
42	031	Nidoqueen	POISON	GROUND	KANTO		TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FEMALE ONLY	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_031_00.png	36
43	032	Nidoran♂	POISON		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	MALE ONLY	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_032_00.png	37
44	033	Nidorino	POISON		KANTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	MALE ONLY	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_033_00.png	38
45	034	Nidoking	POISON	GROUND	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	MALE ONLY	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_034_00.png	39
46	035	Clefairy	FAIRY		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_035_00.png	40
47	036	Clefable	FAIRY		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_036_00.png	41
48	037	Vulpix	FIRE		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_037_00.png	42
49	037	Vulpix: (Alolan)	ICE		KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_037_61.png	43
50	038	Ninetales	FIRE		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_038_00.png	44
51	038	Ninetales: (Alolan)	ICE	FAIRY	KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_038_61.png	45
52	039	Jigglypuff	NORMAL	FAIRY	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_039_00.png	46
53	040	Wigglytuff	NORMAL	FAIRY	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_040_00.png	47
54	041	Zubat	POISON	FLYING	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_041_00.png	48
55	042	Golbat	POISON	FLYING	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_042_00.png	49
56	043	Oddish	GRASS	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_043_00.png	50
57	044	Gloom	GRASS	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_044_00.png	51
58	045	Vileplume	GRASS	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_045_00.png	52
59	046	Paras	BUG	GRASS	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_046_00.png	53
60	047	Parasect	BUG	GRASS	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_047_00.png	54
61	048	Venonat	BUG	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_048_00.png	55
62	049	Venomoth	BUG	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_049_00.png	56
63	050	Diglett	GROUND		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_050_00.png	57
64	050	Diglett: (Alolan)	GROUND	STEEL	KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_050_61.png	58
65	051	Dugtrio	GROUND		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_051_00.png	59
66	051	Dugtrio: (Alolan)	GROUND	STEEL	KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_051_61.png	60
67	052	Meowth	NORMAL		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_052_00.png	61
68	052	Meowth: (Alolan)	DARK		KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_052_61.png	62
69	052	Meowth: (Galarian)	STEEL		KANTO	GALAR	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_052_31.png	63
70	053	Persian	NORMAL		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_053_00.png	64
71	053	Persian: (Alolan)	DARK		KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_053_61.png	65
72	054	Psyduck	WATER		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_054_00.png	66
73	055	Golduck	WATER		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_055_00.png	67
74	056	Mankey	FIGHTING		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_056_00.png	68
75	057	Primeape	FIGHTING		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_057_00.png	69
76	058	Growlithe	FIRE		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_058_00.png	70
77	059	Arcanine	FIRE		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_059_00.png	71
78	060	Poliwag	WATER		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_060_00.png	72
79	061	Poliwhirl	WATER		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_061_00.png	73
80	062	Poliwrath	WATER	FIGHTING	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_062_00.png	74
81	063	Abra	PSYCHIC		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_063_00.png	75
82	064	Kadabra	PSYCHIC		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_064_00.png	76
83	065	Alakazam	PSYCHIC		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_065_00.png	77
84	065	Alakazam: (Mega Alakazam)	PSYCHIC		KANTO	MEGA	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	BOTH		10000
85	066	Machop	FIGHTING		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_066_00.png	78
86	067	Machoke	FIGHTING		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_067_00.png	79
87	068	Machamp	FIGHTING		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_068_00.png	80
88	069	Bellsprout	GRASS	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_069_00.png	81
89	070	Weepinbell	GRASS	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_070_00.png	82
90	071	Victreebel	GRASS	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_071_00.png	83
91	072	Tentacool	WATER		KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_072_00.png	84
92	073	Tentacruel	WATER	POISON	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_073_00.png	85
93	074	Geodude	ROCK	GROUND	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_074_00.png	86
94	074	Geodude: (Alolan)	ROCK	ELECTRIC	KANTO	ALOLA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_074_61.png	87
95	075	Graveler	ROCK	GROUND	KANTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_075_00.png	88
